epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,105.222,1.61795,0.71308,0.88566,0.93565,0.93651,0.95458,0.48964,1.65227,0.86732,0.91208,0.000911,0.000911,0.000911
167,105.836,1.58006,0.72459,0.88809,0.96736,0.94081,0.98055,0.5024,1.63531,0.81286,0.90103,0.0009044,0.0009044,0.0009044
168,107.343,1.50409,0.69057,0.8765,0.95196,0.94366,0.9774,0.50263,1.6465,0.76002,0.89768,0.0008978,0.0008978,0.0008978
169,107.976,1.61999,0.71785,0.88376,0.94672,0.96032,0.98516,0.50109,1.64133,0.72408,0.89924,0.0008912,0.0008912,0.0008912
170,108.606,1.56903,0.72118,0.89845,0.9508,0.95238,0.984,0.50304,1.62982,0.72357,0.90077,0.0008846,0.0008846,0.0008846
171,109.266,1.57759,0.71274,0.88134,0.92229,0.94188,0.9636,0.49848,1.62738,0.7343,0.90503,0.000878,0.000878,0.000878
172,109.883,1.50408,0.68503,0.87264,0.90351,0.89181,0.94175,0.46638,1.66416,0.75575,0.91721,0.0008714,0.0008714,0.0008714
173,110.5,1.57841,0.72676,0.88579,0.90206,0.95029,0.96219,0.49334,1.6186,0.72347,0.90784,0.0008648,0.0008648,0.0008648
174,111.132,1.54096,0.6869,0.87864,0.95958,0.94218,0.97828,0.45699,1.73608,0.71923,0.91409,0.0008582,0.0008582,0.0008582
175,111.788,1.51984,0.67311,0.87951,0.93886,0.98413,0.97717,0.4655,1.69126,0.71573,0.90389,0.0008516,0.0008516,0.0008516
176,112.399,1.50036,0.67915,0.88248,0.94841,0.96032,0.97394,0.48002,1.6748,0.69996,0.89918,0.000845,0.000845,0.000845
